N,P,K,temperature,humidity,ph,rainfall,label,label_encoded
0.6428571428571428,0.2642857142857143,0.19487179487179487,0.3364066681298974,0.7902668315256756,0.5051009646742478,0.7374904539520564,rice,20
0.6071428571428571,0.37857142857142856,0.18461538461538463,0.36609536675316,0.770632850772957,0.6221178343462591,0.8332263656309807,rice,20
0.42857142857142855,0.35714285714285715,0.2,0.4072259821829859,0.7939766359872729,0.7975215932934062,0.9838074450519122,rice,20
0.5285714285714286,0.2142857142857143,0.1794871794871795,0.5234397820205686,0.7687514436037337,0.609501123449144,0.898645216372562,rice,20
0.5571428571428572,0.2642857142857143,0.18974358974358976,0.31142263797415337,0.7856255161385323,0.7512200291439238,0.9787748235528276,rice,20
0.4928571428571428,0.2285714285714286,0.18974358974358976,0.40901218682778295,0.8062177449543491,0.6298496536209391,0.9317046396261622,rice,20
0.6714285714285714,0.34285714285714286,0.1794871794871795,0.3163412830759357,0.8006646625084191,0.3335793189462971,0.8950537504230056,rice,20
0.6357142857142857,0.35,0.16923076923076924,0.4576034739487931,0.8081436804621209,0.5449792816306932,0.8485259422936258,rice,20
0.4857142857142857,0.37857142857142856,0.16923076923076924,0.4145426707588278,0.8022877900557605,0.46864044165482344,0.8112444747366898,rice,20
0.65,0.34285714285714286,0.1794871794871795,0.5246443309037431,0.7834401915158342,0.2608778568300901,0.9864334103449474,rice,20
0.6428571428571428,0.29285714285714287,0.18974358974358976,0.4397080033073508,0.7838260526889486,0.7237455938981115,0.9277825098458415,rice,20
0.6642857142857143,0.36428571428571427,0.158974358974359,0.4409077281660325,0.7908982497215867,0.6103655029088041,0.6662204905626017,rice,20
0.6714285714285714,0.32142857142857145,0.1641025641025641,0.4959333996825078,0.7746481443629094,0.6024201037270221,0.7643362011353972,rice,20
0.42857142857142855,0.30714285714285716,0.17435897435897438,0.44981108916099033,0.7704066801900776,0.6230368729586065,0.851109434666408,rice,20
0.65,0.2142857142857143,0.17435897435897438,0.4335396448805485,0.7717823034149283,0.6074146862816706,0.7509130530900311,rice,20
0.5499999999999999,0.2357142857142857,0.158974358974359,0.36925485481185505,0.7691473446915107,0.3850355204675099,0.8247484889490956,rice,20
0.6357142857142857,0.2857142857142857,0.158974358974359,0.35124898023861983,0.7724423810842008,0.4918687938565417,0.6671089710363001,rice,20
0.5428571428571428,0.25,0.19487179487179487,0.47898792655429134,0.8032666059104807,0.1917774195890144,0.8523121133635551,rice,20
0.47857142857142854,0.38571428571428573,0.18461538461538463,0.37200184394594804,0.7782643089414143,0.3978717529641159,0.779548690411492,rice,20
0.5928571428571429,0.2571428571428572,0.19487179487179487,0.34216602574147736,0.7981485476264769,0.4506596497679908,0.8592673564585747,rice,20
0.7,0.3,0.1641025641025641,0.4232034356184471,0.7824499450014114,0.6958967434673252,0.8227429569096952,rice,20
0.4714285714285714,0.34285714285714286,0.18461538461538463,0.4762607708171045,0.7730154716291151,0.7841184005334968,0.955714844638257,rice,20
0.6928571428571428,0.32142857142857145,0.18461538461538463,0.4580483171360058,0.7732615441444746,0.6293043789713092,0.9688705246415797,rice,20
0.42857142857142855,0.3142857142857143,0.2,0.3329408153517467,0.8193719188689319,0.4486506662816073,0.8874129183633553,rice,20
0.6,0.32857142857142857,0.15384615384615385,0.3837979860745341,0.7744185024001528,0.4045791034109739,0.7174859490634427,rice,20
0.6571428571428571,0.2142857142857143,0.1794871794871795,0.37972306728960137,0.7707684974088922,0.4732623792206586,0.7259986841899555,rice,20
0.6071428571428571,0.2285714285714286,0.17435897435897438,0.45800200710083605,0.798830511040522,0.47473749210062255,0.8252356692828934,rice,20
0.6285714285714286,0.35,0.2,0.4982524928777359,0.8121967659912075,0.427782058819396,0.8593664649170017,rice,20
0.6785714285714286,0.35714285714285715,0.18974358974358976,0.5335805631275744,0.7919623117613115,0.38431984951263953,0.6987919278800855,rice,20
